"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Ccdc1413",0.545077143736285,1.04612488160573,0,0.011,1,"Ccdc141","9"
"Plekha85",0.545077143736285,1.1250955171831,0,0.011,1,"Plekha8","9"
"Bfsp23",0.545077143736285,1.09714802749318,0,0.011,1,"Bfsp2","9"
"Dnase1l34",0.545077143736285,1.08088399170984,0,0.011,1,"Dnase1l3","9"
"4930431P03Rik4",0.545077143736285,1.08711405305612,0,0.011,1,"4930431P03Rik","9"
"Abhd43",0.545077143736285,1.19222918746981,0,0.011,1,"Abhd4","9"
"Lrp1b3",0.545077144080232,1.12133458918573,0,0.011,1,"Lrp1b","9"
"Gpr1603",0.545077144080232,1.22490861126347,0,0.011,1,"Gpr160","9"
"Ovgp14",0.545077144080232,1.10344844481633,0,0.011,1,"Ovgp1","9"
"Mcoln33",0.545077144080232,1.07149284242621,0,0.011,1,"Mcoln3","9"
"Gm429845",0.545077144080232,1.16253914270441,0,0.011,1,"Gm42984","9"
"Trip62",0.545077144080232,1.19068726528879,0,0.011,1,"Trip6","9"
"Igkv7-331",0.545077144080232,1.06671000054275,0,0.011,1,"Igkv7-33","9"
"Smyd14",0.545077144080232,1.07735834024415,0,0.011,1,"Smyd1","9"
"Zfp144",0.545077144080232,1.08493156386356,0,0.011,1,"Zfp14","9"
"Gm48903",0.545077144080232,1.15733651814772,0,0.011,1,"Gm4890","9"
"Tirap4",0.545077144080232,1.12323151814961,0,0.011,1,"Tirap","9"
"1700102P08Rik3",0.545077144080232,1.13680051899105,0,0.011,1,"1700102P08Rik","9"
"Kif3a3",0.545077144080232,1.12402863322475,0,0.011,1,"Kif3a","9"
"Mrm33",0.545077144080232,1.21100448787175,0,0.011,1,"Mrm3","9"
"Rps6ka22",0.545077144080232,1.09744765495536,0,0.011,1,"Rps6ka2","9"
"1700066B19Rik2",0.545077144080232,1.15581572517461,0,0.011,1,"1700066B19Rik","9"
"Aldh7a15",0.545077144080232,1.11713358413012,0,0.011,1,"Aldh7a1","9"
"Gle1",0.545610855525896,0.539672392018206,0.118,0.084,1,"Gle1","9"
